source,macro_precision,macro_recall,macro_f1,accuracy_top1,accuracy_top5,accuracy_top10,accuracy_top20,X80,X90,X95,X99,exp_calibration_error,max_calibration_error
BLAST (new),0.7709241889015712,0.6730522430993818,0.7118175312302356,0.6937714738789534,0.8166681349660823,0.8523478107655713,0.8748127918245089,4,60,678,1314,0.07378299292837627,0.25988700564971756
"BLAST (Alley et al., original)",0.7709241889015712,0.6730522430993818,0.7118175312302356,0.6937714738789534,0.7577305964232226,0.7767597568496167,0.7918245088538455,35,697,1314,1314,0.07378299292837627,0.25988700564971756
"BLAST (Alley et al., corrected)",0.7709241889015712,0.6730522430993818,0.7118175312302356,0.6937714738789534,0.8166681349660823,0.8523478107655713,0.8748127918245089,4,60,678,1314,0.07378299292837627,0.25988700564971756
Nielsen & Voigt (2018),0.721762521467897,0.37273788088348964,0.6156870871009811,0.5025988899656418,0.6829354241917012,0.734472733679852,0.7772883446392388,30,166,395,922,0.10501034348260285,0.17385488537579197
Alley et al. (2020),0.7971912163365783,0.6263513638933407,0.7245265136492102,0.7005550171791032,0.8198396617038146,0.8474143247290987,0.8681173464892961,4,60,311,1008,0.05864870181693238,0.08967019907777785
GEAC (1st place),0.9171996124649588,0.7900405171855487,0.842476433611813,0.8193110739141926,0.9303145097348251,0.9494317681261563,0.9615892872874636,1,3,11,299,0.122735514932605,0.2505891259640103
GEAC (2nd place),0.8320600014078731,0.8075854985613242,0.80441808914942,0.7564091269491675,0.920623733591754,0.9443220861598097,0.9560391154964321,2,4,15,318,0.2435908730508325,0.2435908730508325
GEAC (3rd place),0.9138052093960644,0.6133296554880234,0.7431251982449837,0.6618800105717558,0.9132235045370451,0.9344551140868645,0.9344551140868645,2,4,1314,1314,0.33811998942824417,0.33811998942824417
GEAC (4th place),0.9315319442674623,0.7460006446823917,0.8214202627204275,0.796317505065633,0.9089948022200687,0.929785921945203,0.9450268698793058,2,4,25,244,0.03405597588256547,0.11788283341137124
GEAC Ensemble,0.925687966113973,0.8018202503213921,0.8521646162085846,0.8306757113910669,0.9306669015945732,0.9511937274248965,0.9674918509382433,1,3,10,177,0.06067791547705043,0.325861075
