source,accuracy_top_n,n
Alley et al. (2020),0.7005550171791032,1
"BLAST (Alley et al., corrected)",0.6937714738789534,1
"BLAST (Alley et al., original)",0.6937714738789534,1
BLAST (new),0.6937714738789534,1
GEAC (1st place),0.8193110739141926,1
GEAC (2nd place),0.7564091269491675,1
GEAC (3rd place),0.6618800105717558,1
GEAC (4th place),0.796317505065633,1
GEAC Ensemble,0.8306757113910669,1
Nielsen & Voigt (2018),0.5025988899656418,1
Alley et al. (2020),0.7646903356532464,2
"BLAST (Alley et al., corrected)",0.7556162452647344,2
"BLAST (Alley et al., original)",0.7212580389393005,2
BLAST (new),0.7556162452647344,2
GEAC (1st place),0.8790414941414854,2
GEAC (2nd place),0.8573693947669809,2
GEAC (3rd place),0.8260946172143423,2
GEAC (4th place),0.8597480398202801,2
GEAC Ensemble,0.8911109153378557,2
Nielsen & Voigt (2018),0.5887586996740375,2
Alley et al. (2020),0.7923530966434675,3
"BLAST (Alley et al., corrected)",0.7842480838692626,3
"BLAST (Alley et al., original)",0.7385252400669544,3
BLAST (new),0.7842480838692626,3
GEAC (1st place),0.9052065897277772,3
GEAC (2nd place),0.8960444013743283,3
GEAC (3rd place),0.876310457228438,3
GEAC (4th place),0.8858250374416351,3
GEAC Ensemble,0.9136639943617303,3
Nielsen & Voigt (2018),0.6350982292309048,3
Alley et al. (2020),0.8091798079464364,4
"BLAST (Alley et al., corrected)",0.8044225178398379,4
"BLAST (Alley et al., original)",0.7505065632983878,4
BLAST (new),0.8044225178398379,4
GEAC (1st place),0.9209761254515021,4
GEAC (2nd place),0.9111972513434939,4
GEAC (3rd place),0.9004492996211787,4
GEAC (4th place),0.9002731036913048,4
GEAC Ensemble,0.9243238481191084,4
Nielsen & Voigt (2018),0.6625847942912518,4
Alley et al. (2020),0.8198396617038146,5
"BLAST (Alley et al., corrected)",0.8166681349660823,5
"BLAST (Alley et al., original)",0.7577305964232226,5
BLAST (new),0.8166681349660823,5
GEAC (1st place),0.9303145097348251,5
GEAC (2nd place),0.920623733591754,5
GEAC (3rd place),0.9132235045370451,5
GEAC (4th place),0.9089948022200687,5
GEAC Ensemble,0.9306669015945732,5
Nielsen & Voigt (2018),0.6829354241917012,5
Alley et al. (2020),0.8282970663377676,6
"BLAST (Alley et al., corrected)",0.8290018500572637,6
"BLAST (Alley et al., original)",0.7643379437934984,6
BLAST (new),0.8290018500572637,6
GEAC (1st place),0.9351598978063607,6
GEAC (2nd place),0.9268786891022818,6
GEAC (3rd place),0.9193022641176989,6
GEAC (4th place),0.9151616597656594,6
GEAC Ensemble,0.9355122896661087,6
Nielsen & Voigt (2018),0.6978239802660559,6
Alley et al. (2020),0.8334948462690512,7
"BLAST (Alley et al., corrected)",0.8384283323055237,7
"BLAST (Alley et al., original)",0.7683904501806008,7
BLAST (new),0.8384283323055237,7
GEAC (1st place),0.9407981675623293,7
GEAC (2nd place),0.9320764690335653,7
GEAC (3rd place),0.9237071623645494,7
GEAC (4th place),0.920623733591754,7
GEAC Ensemble,0.9390362082635891,7
Nielsen & Voigt (2018),0.7091005197779932,7
Alley et al. (2020),0.8383402343405867,8
"BLAST (Alley et al., corrected)",0.8438023081666813,8
"BLAST (Alley et al., original)",0.7710333891287111,8
BLAST (new),0.8438023081666813,8
GEAC (1st place),0.9449387719143688,8
GEAC (2nd place),0.9365694652453528,8
GEAC (3rd place),0.929169236190644,8
GEAC (4th place),0.9242357501541715,8
GEAC Ensemble,0.9435292044753766,8
Nielsen & Voigt (2018),0.7187912959210643,8
Alley et al. (2020),0.8426570346225002,9
"BLAST (Alley et al., corrected)",0.84944057792265,9
"BLAST (Alley et al., original)",0.7744692097612546,9
BLAST (new),0.84944057792265,9
GEAC (1st place),0.947053123072857,9
GEAC (2nd place),0.9404457757025813,9
GEAC (3rd place),0.9321645669985024,9
GEAC (4th place),0.9269667870672188,9
GEAC Ensemble,0.9483745925469121,9
Nielsen & Voigt (2018),0.7275129944498282,9
Alley et al. (2020),0.8474143247290987,10
"BLAST (Alley et al., corrected)",0.8523478107655713,10
"BLAST (Alley et al., original)",0.7767597568496167,10
BLAST (new),0.8523478107655713,10
GEAC (1st place),0.9494317681261563,10
GEAC (2nd place),0.9443220861598097,10
GEAC (3rd place),0.9344551140868645,10
GEAC (4th place),0.929785921945203,10
GEAC Ensemble,0.9511937274248965,10
Nielsen & Voigt (2018),0.734472733679852,10
Alley et al. (2020),0.8506739494317681,11
"BLAST (Alley et al., corrected)",0.8553431415734296,11
"BLAST (Alley et al., original)",0.779402695797727,11
BLAST (new),0.8553431415734296,11
GEAC (1st place),0.9510175314950224,11
GEAC (2nd place),0.9457316535988018,11
GEAC (3rd place),0.9344551140868645,11
GEAC (4th place),0.9316359792088803,11
GEAC Ensemble,0.9548938419522509,11
Nielsen & Voigt (2018),0.7412562769800017,11
Alley et al. (2020),0.8536692802396265,12
"BLAST (Alley et al., corrected)",0.857897982556603,12
"BLAST (Alley et al., original)",0.7809003612016563,12
BLAST (new),0.857897982556603,12
GEAC (1st place),0.9529556867236367,12
GEAC (2nd place),0.9467007312131089,12
GEAC (3rd place),0.9344551140868645,12
GEAC (4th place),0.9335741344374945,12
GEAC Ensemble,0.9571843890406132,12
Nielsen & Voigt (2018),0.7461897630164743,12
Alley et al. (2020),0.8563122191877368,13
"BLAST (Alley et al., corrected)",0.8604528235397763,13
"BLAST (Alley et al., original)",0.7835433001497666,13
BLAST (new),0.8604528235397763,13
GEAC (1st place),0.9541890582327548,13
GEAC (2nd place),0.9482864945819751,13
GEAC (3rd place),0.9344551140868645,13
GEAC (4th place),0.9358646815258568,13
GEAC Ensemble,0.9591225442692274,13
Nielsen & Voigt (2018),0.7510351510880099,13
Alley et al. (2020),0.858338472381288,14
"BLAST (Alley et al., corrected)",0.8629195665580125,14
"BLAST (Alley et al., original)",0.7851290635186328,14
BLAST (new),0.8629195665580125,14
GEAC (1st place),0.9561272134613691,14
GEAC (2nd place),0.9498722579508413,14
GEAC (3rd place),0.9344551140868645,14
GEAC (4th place),0.937890934719408,14
GEAC Ensemble,0.9609726015329045,14
Nielsen & Voigt (2018),0.7569377147387896,14
Alley et al. (2020),0.8605409215047133,15
"BLAST (Alley et al., corrected)",0.8651220156814378,15
"BLAST (Alley et al., original)",0.7864505329926879,15
BLAST (new),0.8651220156814378,15
GEAC (1st place),0.9570081931107391,15
GEAC (2nd place),0.9511937274248965,15
GEAC (3rd place),0.9344551140868645,15
GEAC (4th place),0.9389481102986521,15
GEAC Ensemble,0.9624702669368338,15
Nielsen & Voigt (2018),0.761166417055766,15
Alley et al. (2020),0.8617742930138313,16
"BLAST (Alley et al., corrected)",0.866883974980178,16
"BLAST (Alley et al., original)",0.787683904501806,16
BLAST (new),0.866883974980178,16
GEAC (1st place),0.9579772707250462,16
GEAC (2nd place),0.9523390009690776,16
GEAC (3rd place),0.9344551140868645,16
GEAC (4th place),0.9405338736675183,16
GEAC Ensemble,0.963967932340763,16
